class,metric,value,city
Flooded vegetation,ed,32.062,Ottawa
Crops,ed,32.635,Ottawa
Shrub and scrub,ed,23.582,Ottawa
Built,ed,19.874,Ottawa
Bare,ed,1.985,Ottawa
Snow and ice,ed,0.734,Ottawa
Water,pland,3.765,Ottawa
Trees,pland,44.215,Ottawa
Grass,pland,7.353,Ottawa
Flooded vegetation,pland,0.927,Ottawa
Crops,pland,26.583,Ottawa
Shrub and scrub,pland,1.342,Ottawa
Built,pland,15.398,Ottawa
Bare,pland,0.355,Ottawa
Snow and ice,pland,0.061,Ottawa
Water,ed,4.352,Philadelphia
Trees,ed,51.653,Philadelphia
Grass,ed,45.033,Philadelphia
Flooded vegetation,ed,38.852,Philadelphia
Crops,ed,39.566,Philadelphia
Shrub and scrub,ed,48.503,Philadelphia
Built,ed,46.038,Philadelphia
Bare,ed,0.857,Philadelphia
Snow and ice,ed,0.021,Philadelphia
Water,pland,2.613,Philadelphia
Trees,pland,31.527,Philadelphia
Grass,pland,4.244,Philadelphia
Flooded vegetation,pland,1.169,Philadelphia
Crops,pland,4.437,Philadelphia
Shrub and scrub,pland,1.483,Philadelphia
Built,pland,54.275,Philadelphia
Bare,pland,0.25,Philadelphia
Snow and ice,pland,0.002,Philadelphia
Water,ed,1.392,Phoenix
Trees,ed,1.638,Phoenix
Grass,ed,6.193,Phoenix
Flooded vegetation,ed,5.238,Phoenix
Crops,ed,10.529,Phoenix
Shrub and scrub,ed,19.371,Phoenix
Built,ed,25.943,Phoenix
Bare,ed,12.136,Phoenix
Snow and ice,ed,0.014,Phoenix
Water,pland,0.334,Phoenix
Trees,pland,0.136,Phoenix
Grass,pland,1.266,Phoenix
Flooded vegetation,pland,0.161,Phoenix
Crops,pland,3.787,Phoenix
Shrub and scrub,pland,4.682,Phoenix
Built,pland,82.849,Phoenix
Bare,pland,6.782,Phoenix
Snow and ice,pland,0.003,Phoenix
Water,ed,1.159,SanAntonio
Trees,ed,31.145,SanAntonio
Grass,ed,32.667,SanAntonio
Flooded vegetation,ed,30.22,SanAntonio
Crops,ed,33.512,SanAntonio
Shrub and scrub,ed,41.609,SanAntonio
Built,ed,36.014,SanAntonio
Bare,ed,5.575,SanAntonio
Snow and ice,ed,0.029,SanAntonio
Water,pland,0.423,SanAntonio
Trees,pland,15.351,SanAntonio
Grass,pland,5.256,SanAntonio
Flooded vegetation,pland,0.863,SanAntonio
Crops,pland,2.381,SanAntonio
Shrub and scrub,pland,4.124,SanAntonio
Built,pland,69.77,SanAntonio
Bare,pland,1.83,SanAntonio
Snow and ice,pland,0.002,SanAntonio
Water,ed,2.884,SanDiego
Trees,ed,21.023,SanDiego
Grass,ed,19.869,SanDiego
Flooded vegetation,ed,19.048,SanDiego
Crops,ed,26.171,SanDiego
Shrub and scrub,ed,36.669,SanDiego
Built,ed,26.064,SanDiego
Bare,ed,3.565,SanDiego
Snow and ice,ed,0.05,SanDiego
Water,pland,2.113,SanDiego
Trees,pland,6.646,SanDiego
Grass,pland,1.717,SanDiego
Flooded vegetation,pland,0.722,SanDiego
Crops,pland,2.252,SanDiego
Shrub and scrub,pland,8.533,SanDiego
Built,pland,76.617,SanDiego
Bare,pland,1.39,SanDiego
Snow and ice,pland,0.011,SanDiego
