term,Mean,SD,2.5%,50%,97.5%,Rhat,ESS,species_city
rho,0.05914601901312377,0.3907734975350165,-0.6943752976879092,0.07487288860000263,0.7495589597370187,1.002089947296089,3421.6856923732776,American_Kestrel_Philadelphia
sigma.sq,1.771293192620577,0.467433834508076,1.0219683579163554,1.7161007212930055,2.852466155824342,1.0006505999271975,704.5911053085536,American_Kestrel_Phoenix
phi,0.7386366443044485,0.13594339867252994,0.4406794003331265,0.7580954272216474,0.9291715718816947,1.0986020381151709,254.08327020599825,American_Kestrel_Phoenix
sigma.sq.t,0.25566098380535957,0.1842960409002404,0.08080663345784131,0.2053632691532332,0.7417956672990046,1.0023985141692042,2842.9867084648904,American_Kestrel_Phoenix
rho,0.15230361044520854,0.3661276723860932,-0.598371466496509,0.18220094433432327,0.7592466534758442,1.000943940506292,3815.286619953486,American_Kestrel_Phoenix
sigma.sq,4.446016238990267,2.7312131195172458,0.4382897375639767,4.095313912406757,9.646797131577287,1.0255374623037137,591.7463772645436,American_Kestrel_Quito
phi,0.5169680403462307,0.2361627078121176,0.11226006630999082,0.5212995992178541,0.8923442647583981,1.0213448373064906,899.9049936383818,American_Kestrel_Quito
sigma.sq.t,0.3704651349026551,0.3998320830180268,0.08771450661232089,0.2644931374108551,1.2929480449747246,1.0414298468814636,3939.391389973676,American_Kestrel_Quito
rho,0.02172834659684875,0.3795062108592345,-0.7021002315821248,0.02497176069624185,0.7220091145143817,1.000850083568757,4598.307633077272,American_Kestrel_Quito
sigma.sq,2.631065214837928,1.3069850861379937,0.980863095862764,2.3266490919163103,6.170081610467848,1.0086535455761405,261.7471215839609,American_Kestrel_SanAntonio
phi,0.4867268208908132,0.22493843123442375,0.09086835041966938,0.4713328633678464,0.8957355699838073,1.0598165476434658,211.71881894120153,American_Kestrel_SanAntonio
sigma.sq.t,0.25749441222240227,0.2088206593146461,0.07729481160610524,0.2039353333815224,0.769856675242923,1.0140962240018203,2786.336969765848,American_Kestrel_SanAntonio
rho,0.05966404876300073,0.40390595667318646,-0.7160488051688848,0.0723745154669791,0.764823395942381,1.0006685619677522,3730.533279875748,American_Kestrel_SanAntonio
sigma.sq,7.360532365371368,1.884586091918004,3.253655065602132,7.690818338934803,9.90947522914085,1.0366369327219718,543.9502625154423,American_Kestrel_SanDiego
phi,0.6433944960133389,0.1664427084814408,0.3107821554350211,0.6534303966592464,0.8966921992008192,1.0018445675667924,1283.4987565668241,American_Kestrel_SanDiego
sigma.sq.t,0.2764026333431574,0.22131073574977037,0.0792249020370763,0.2151313434412438,0.8453009911441717,1.0044546682220803,7260.513066851911,American_Kestrel_SanDiego
rho,0.07582161753251775,0.3882153089951203,-0.6782123316028411,0.08817618434133279,0.7611215979751783,1.000416520464442,6766.655392299086,American_Kestrel_SanDiego
sigma.sq,1.6006131330245417,0.9207708682067136,0.4625999397908811,1.3884428203682164,4.014692085118698,1.010713140156263,353.6646843781501,American_Kestrel_Santiago
phi,0.6631866837006886,0.2078748899744396,0.23309787029679063,0.6832229320838383,0.9713512284869876,1.060027185208633,447.6406834262167,American_Kestrel_Santiago
sigma.sq.t,0.23803331946653863,0.17741679707892996,0.07337078951452156,0.1893653888797495,0.7008134292930261,1.003597431208832,3628.990886065556,American_Kestrel_Santiago
rho,0.1195289475740463,0.3923687172992128,-0.6593819075094177,0.14122341885112555,0.7881118987206688,1.000937518262211,3557.0645317524263,American_Kestrel_Santiago
sigma.sq,0.6817952910072897,0.5286161842149573,0.05476884216764569,0.556982917583559,2.0106828945369006,1.0962666280854187,320.4931933387602,Eurasian_Kestrel_Berlin
phi,0.5983520957476575,0.24019728635762908,0.10435570968977928,0.6272306371281706,0.95429581524508,1.0418154566590023,236.27879135228525,Eurasian_Kestrel_Berlin
sigma.sq.t,0.26734705492344824,0.23818281688073872,0.07542494180872593,0.20660019376367209,0.8219542696918861,1.0295378072953916,4919.822728703459,Eurasian_Kestrel_Berlin
