predictor,importance,Total,importance_stnd,species,LC_type,LC_category
pland_LCCS1_c15_mixed_broadleaf_needleleaf,2163.2798934809575,256443.21848395368,0.8435707156811868,Eurasian Kestrel,Dense,Forest
pland_LCCS1_c43_sparse_shrubland,1699.928820233153,256443.21848395368,0.6628870243802223,Eurasian Kestrel,Open,Shrubland
pland_LCCS1_c32_sparse_herbaceous,1598.836976604078,256443.21848395368,0.6234662729847626,Eurasian Kestrel,Open,Herbaceous Plant Cover
pland_LCCS1_c11_evergreen_needleleaf,1496.217994343116,256443.21848395368,0.5834500140766008,Eurasian Kestrel,Dense,Forest
pland_LCCS1_c14_deciduous_broadleaf,1411.3755797224385,256443.21848395368,0.5503657254289029,Eurasian Kestrel,Dense,Forest
pland_LCCS1_c01_barren,1359.4593984952276,256443.21848395368,0.5301210172497863,Eurasian Kestrel,Open,Barren
pland_ASTWBD_c02_river,1096.9425361992774,256443.21848395368,0.4277526006280083,Eurasian Kestrel,Open,Water Body
pland_LCCS3_c50_herbaceous_wetland,917.2515204562078,256443.21848395368,0.35768211219576573,Eurasian Kestrel,Open,Wetland
pland_LCCS1_c16_mixed_broadleaf_evergreen_deciduous,645.1906639458423,256443.21848395368,0.2515920162600102,Eurasian Kestrel,Dense,Forest
pland_LCCS3_c27_woody_wetland,420.15745121606807,256443.21848395368,0.1638403439560475,Eurasian Kestrel,Dense,Wetland
pland_LCCS1_c42_shrubland_grassland_mosaic,375.3192611508152,256443.21848395368,0.14635569751839625,Eurasian Kestrel,Open,Mixed
pland_LCCS3_c51_tundra,136.9084432533437,256443.21848395368,0.05338742980326088,Eurasian Kestrel,Open,Tundra
pland_LCCS1_c41_dense_shrubland,82.35440454815163,256443.21848395368,0.03211408944054598,Eurasian Kestrel,Open,Shrubland
pland_LCCS2_c35_natural_herbaceous_cropland_mosaic,46.37490073550524,256443.21848395368,0.0180838865654804,Eurasian Kestrel,Open,Mixed
pland_LCCS1_c02_permanent_snow_ice,30.29657238522717,256443.21848395368,0.01181414449730239,Eurasian Kestrel,Open,Snow & Ice
pland_LCCS1_c13_deciduous_needleleaf,4.239249268664821,256443.21848395368,0.00165309470600412,Eurasian Kestrel,Dense,Forest
pland_LCCS2_c36_herbaceous_cropland,5.631544207118629,106.32889225608676,5.296344283880428,Fox Kestrel,Open,Cropland
ALAN_mean,5.095693866473288,106.32889225608676,4.792388746231471,Fox Kestrel,Dense,ALAN
pland_LCCS1_c31_dense_herbaceous,4.27927837576611,106.32889225608676,4.02456781498271,Fox Kestrel,Open,Herbaceous Plant Cover
pland_LCCS1_c22_sparse_forest,1.814893006609907,106.32889225608676,1.7068672193432115,Fox Kestrel,Dense,Forest
pland_LCCS1_c32_sparse_herbaceous,1.7580650047030302,106.32889225608676,1.6534217251777967,Fox Kestrel,Open,Herbaceous Plant Cover
pland_ASTWBD_c03_lake,0.8089472033115841,106.32889225608676,0.7607971701268958,Fox Kestrel,Open,Water Body
pland_ASTWBD_c02_river,0.8041866419379079,106.32889225608676,0.7563199661678716,Fox Kestrel,Open,Water Body
pland_LCCS2_c25_forest_cropland_mosaic,0.46759807667715486,106.32889225608676,0.4397657746221724,Fox Kestrel,Dense,Mixed
pland_ASTWBD_c01_ocean,0.3591490036907845,106.32889225608676,0.3377717909689078,Fox Kestrel,Open,Water Body
pland_LCCS3_c50_herbaceous_wetland,0.33551827068011814,106.32889225608676,0.3155476028773464,Fox Kestrel,Open,Wetland
pland_LCCS1_c43_sparse_shrubland,0.17211566712636128,106.32889225608676,0.16187102439836487,Fox Kestrel,Open,Shrubland
pland_LCCS1_c01_barren,0.14233186708007944,106.32889225608676,0.13386001119740973,Fox Kestrel,Open,Barren
pland_LCCS2_c35_natural_herbaceous_cropland_mosaic,0.12206137566203808,106.32889225608676,0.11479605690620812,Fox Kestrel,Open,Mixed
pland_LCCS1_c12_evergreen_broadleaf,0.11554058232858272,106.32889225608676,0.1086633932481025,Fox Kestrel,Dense,Forest
pland_LCCS1_c16_mixed_broadleaf_evergreen_deciduous,0.07008770355575415,106.32889225608676,0.0659159538565982,Fox Kestrel,Dense,Forest
pland_LCCS1_c14_deciduous_broadleaf,0.06248375297236789,106.32889225608676,0.05876460447070164,Fox Kestrel,Dense,Forest
pland_LCCS1_c21_open_forest,0.05402695508395424,106.32889225608676,0.05081117082818239,Fox Kestrel,Dense,Forest
pland_LCCS3_c27_woody_wetland,0.01911457414351055,106.32889225608676,0.0179768393499993,Fox Kestrel,Dense,Wetland
pland_LCCS1_c41_dense_shrubland,0.00330576441985797,106.32889225608676,0.00310899920963743,Fox Kestrel,Open,Shrubland
pland_LCCS1_c42_shrubland_grassland_mosaic,0.00328345996493278,106.32889225608676,0.00308802235710757,Fox Kestrel,Open,Mixed
pland_LCCS1_c02_permanent_snow_ice,0,106.32889225608676,0,Fox Kestrel,Open,Snow & Ice
pland_LCCS1_c11_evergreen_needleleaf,0,106.32889225608676,0,Fox Kestrel,Dense,Forest
pland_LCCS1_c13_deciduous_needleleaf,0,106.32889225608676,0,Fox Kestrel,Dense,Forest
pland_LCCS1_c15_mixed_broadleaf_needleleaf,0,106.32889225608676,0,Fox Kestrel,Dense,Forest
pland_LCCS3_c51_tundra,0,106.32889225608676,0,Fox Kestrel,Open,Tundra
ALAN_mean,31.90986908330724,414.344499875313,7.701289408429399,Greater Kestrel,Dense,ALAN
pland_LCCS1_c31_dense_herbaceous,24.95957046778586,414.344499875313,6.023869141571046,Greater Kestrel,Open,Herbaceous Plant Cover
pland_LCCS1_c22_sparse_forest,22.727913312544107,414.344499875313,5.485269701753861,Greater Kestrel,Dense,Forest
pland_LCCS1_c01_barren,12.427113117751215,414.344499875313,2.9992224155240046,Greater Kestrel,Open,Barren
pland_LCCS1_c43_sparse_shrubland,11.499051307109688,414.344499875313,2.7752392780814157,Greater Kestrel,Open,Shrubland
pland_LCCS1_c42_shrubland_grassland_mosaic,9.836197214975522,414.344499875313,2.3739176501523467,Greater Kestrel,Open,Mixed
pland_LCCS1_c32_sparse_herbaceous,3.7937973057672143,414.344499875313,0.9156142550242292,Greater Kestrel,Open,Herbaceous Plant Cover
pland_LCCS2_c36_herbaceous_cropland,3.501075536181833,414.344499875313,0.8449673006967384,Greater Kestrel,Open,Cropland
pland_ASTWBD_c03_lake,2.9657894886759437,414.344499875313,0.7157786550970091,Greater Kestrel,Open,Water Body
pland_LCCS1_c12_evergreen_broadleaf,1.9294342895962588,414.344499875313,0.46565944284933813,Greater Kestrel,Dense,Forest
pland_ASTWBD_c02_river,1.7433179786356934,414.344499875313,0.4207411897974519,Greater Kestrel,Open,Water Body
pland_LCCS1_c21_open_forest,1.6181963725699835,414.344499875313,0.3905437077255619,Greater Kestrel,Dense,Forest
pland_LCCS1_c41_dense_shrubland,1.5786725327874904,414.344499875313,0.3810048240685116,Greater Kestrel,Open,Shrubland
pland_ASTWBD_c01_ocean,1.2299327216330147,414.344499875313,0.2968381918918034,Greater Kestrel,Open,Water Body
pland_LCCS3_c50_herbaceous_wetland,1.082398207579355,414.344499875313,0.2612314650985054,Greater Kestrel,Open,Wetland
pland_LCCS3_c27_woody_wetland,0.21693295729388637,414.344499875313,0.05235569854533296,Greater Kestrel,Dense,Wetland
pland_LCCS2_c25_forest_cropland_mosaic,0.20891246959461532,414.344499875313,0.05041999342515287,Greater Kestrel,Dense,Mixed
pland_LCCS1_c14_deciduous_broadleaf,0.0936315271290018,414.344499875313,0.02259750694341978,Greater Kestrel,Dense,Forest
pland_LCCS1_c16_mixed_broadleaf_evergreen_deciduous,0.06752986125148464,414.344499875313,0.01629799871165325,Greater Kestrel,Dense,Forest
pland_LCCS3_c51_tundra,0.06283320439156437,414.344499875313,0.01516448375940129,Greater Kestrel,Open,Tundra
pland_LCCS2_c35_natural_herbaceous_cropland_mosaic,0.00535523889578247,414.344499875313,0.00129246047609996,Greater Kestrel,Open,Mixed
pland_LCCS1_c02_permanent_snow_ice,0,414.344499875313,0,Greater Kestrel,Open,Snow & Ice
pland_LCCS1_c11_evergreen_needleleaf,0,414.344499875313,0,Greater Kestrel,Dense,Forest
pland_LCCS1_c13_deciduous_needleleaf,0,414.344499875313,0,Greater Kestrel,Dense,Forest
pland_LCCS1_c15_mixed_broadleaf_needleleaf,0,414.344499875313,0,Greater Kestrel,Dense,Forest
ALAN_mean,58.55308813304667,1296.560154956109,4.516033283085797,Grey Kestrel,Dense,ALAN
pland_LCCS2_c36_herbaceous_cropland,37.79254021918707,1296.560154956109,2.9148312228109785,Grey Kestrel,Open,Cropland
pland_LCCS1_c22_sparse_forest,28.58502429253974,1296.560154956109,2.204681686636236,Grey Kestrel,Dense,Forest
pland_LCCS1_c31_dense_herbaceous,27.833691884160547,1296.560154956109,2.1467335532228176,Grey Kestrel,Open,Herbaceous Plant Cover
pland_LCCS1_c21_open_forest,17.26108005455204,1296.560154956109,1.3312980495792237,Grey Kestrel,Dense,Forest
pland_LCCS2_c25_forest_cropland_mosaic,16.311203424402905,1296.560154956109,1.2580367645923125,Grey Kestrel,Dense,Mixed
pland_ASTWBD_c03_lake,16.26951691458094,1296.560154956109,1.254821602560484,Grey Kestrel,Open,Water Body
